Entraineur,Autostart,Deferre,Gagnant,Record,Gain,Crack,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date 
OUI,NON,NON,OUI,JEUNE,NON,NON,NON,M,COURT,ROGER,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,NON,OUI,JEUNE,NON,NON,NON,M,COURT,MONCLIN,VINCENNES,NON,OUI,SAMEDI 14 JANVIER 2017
NON,NON,NON,OUI,JEUNE,NON,NON,NON,M,COURT,NIVARD,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,NON,OUI,JEUNE,NON,NON,NON,M,COURT,THOMAIN,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,NON,OUI,JEUNE,NON,OUI,NON,M,COURT,ABRIVARD,VINCENNES,OUI,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,OUI,NON,M,LONG,GOOP,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,M,LONG,NIVARD,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
OUI,NON,NON,OUI,JEUNE,NON,NON,NON,M,LONG,MARTENS,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,M,LONG,GELORMINI,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,M,LONG,THOMAIN,VINCENNES,OUI,OUI,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,H,COURT,DERIEUX,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
OUI,NON,OUI,OUI,VIEUX,NON,NON,NON,H,COURT,DERSOIR,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,M,COURT,NIVARD,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
OUI,NON,OUI,OUI,MEDIUM,NON,NON,NON,F,COURT,VERCRUYSSE,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,OUI,NON,M,COURT,RAFFIN,VINCENNES,OUI,OUI,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,H,COURT,ABRIVARD,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
OUI,NON,NON,OUI,MEDIUM,NON,NON,NON,H,COURT,BIGEON,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
OUI,NON,NON,OUI,MEDIUM,NON,NON,NON,H,COURT,OUVRIE,VINCENNES,NON,OUI,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,H,COURT,THOMAIN,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
OUI,NON,OUI,OUI,MEDIUM,NON,OUI,NON,H,COURT,MARTENS,VINCENNES,OUI,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,H,LONG,POREE,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,H,LONG,BLANCHETIERE,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,F,LONG,DESPRES,VINCENNES,OUI,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,OUI,F,LONG,FREMIOT,VINCENNES,NON,OUI,SAMEDI 14 JANVIER 2017
NON,NON,NON,OUI,MEDIUM,NON,OUI,OUI,H,LONG,JUBLOT,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,OUI,OUI,OUI,JEUNE,NON,NON,NON,H,COURT,LAMY,VINCENNES,OUI,OUI,SAMEDI 14 JANVIER 2017
NON,OUI,OUI,OUI,JEUNE,NON,NON,NON,H,COURT,ABRIVARD,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
OUI,OUI,OUI,OUI,JEUNE,NON,OUI,NON,H,COURT,ABRIVARD,VINCENNES,NON,OUI,SAMEDI 14 JANVIER 2017
OUI,OUI,OUI,OUI,JEUNE,NON,NON,NON,H,COURT,BIGEON,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,OUI,NON,OUI,JEUNE,NON,NON,OUI,H,COURT,VERCRUYSSE,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,H,LONG,BONNE,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,M,LONG,ABRIVARD,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,M,LONG,ANNE,VINCENNES,NON,OUI,SAMEDI 14 JANVIER 2017
OUI,NON,OUI,OUI,JEUNE,NON,OUI,NON,H,LONG,DUVALDESTIN,VINCENNES,NON,NON,SAMEDI 14 JANVIER 2017
NON,NON,NON,OUI,JEUNE,NON,NON,NON,M,LONG,VERCRUYSSE,VINCENNES,OUI,NON,SAMEDI 14 JANVIER 2017
OUI,NON,NON,,MEDIUM,,OUI,NON,M,COURT,DUBOIS,VINCENNES,NON,OUI,SAMEDI 15 JANVIER 2011
NON,NON,NON,,MEDIUM,,OUI,NON,H,COURT,VERBEECK,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,OUI,,MEDIUM,,OUI,NON,M,COURT,BAZIRE,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,OUI,,MEDIUM,,OUI,NON,H,COURT,ANNE,VINCENNES,OUI,NON,SAMEDI 15 JANVIER 2011
NON,NON,OUI,,MEDIUM,,OUI,NON,M,COURT,RAFFIN,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
OUI,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,FRIBAULT,VINCENNES,OUI,NON,SAMEDI 15 JANVIER 2011
OUI,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,BIGEON,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,OUI,NON,,VIEUX,,OUI,NON,H,COURT,LOCQUENEUX,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
OUI,OUI,NON,,VIEUX,,OUI,NON,H,COURT,DESMARRES,VINCENNES,NON,OUI,SAMEDI 15 JANVIER 2011
OUI,OUI,OUI,,VIEUX,,OUI,OUI,H,COURT,OUVRIE,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
OUI,NON,OUI,,VIEUX,,OUI,NON,M,LONG,DELANOE,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
OUI,NON,NON,,VIEUX,,OUI,NON,F,LONG,DREUX,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,NON,,VIEUX,,OUI,NON,H,LONG,RAFFIN,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,PITON,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,NON,,VIEUX,,OUI,OUI,F,LONG,ABRIVARD,VINCENNES,OUI,OUI,SAMEDI 15 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,RAFFIN,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,NON,,VIEUX,,OUI,NON,M,LONG,FRIBAULT,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,NON,,VIEUX,,OUI,NON,F,LONG,ABRIVARD,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,NON,F,LONG,BAZIRE,VINCENNES,NON,OUI,SAMEDI 15 JANVIER 2011
OUI,NON,NON,,VIEUX,,OUI,OUI,M,LONG,LEBLANC,VINCENNES,OUI,NON,SAMEDI 15 JANVIER 2011
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,LE BELLER,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,NON,H,LONG,LENOIR,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
NON,NON,NON,,VIEUX,,OUI,NON,H,LONG,LOCQUENEUX,VINCENNES,NON,NON,SAMEDI 15 JANVIER 2011
OUI,NON,OUI,,VIEUX,,OUI,NON,M,LONG,LEBLANC,VINCENNES,NON,OUI,SAMEDI 15 JANVIER 2011
NON,NON,NON,,VIEUX,,OUI,NON,H,LONG,RAFFIN,VINCENNES,OUI,NON,SAMEDI 15 JANVIER 2011
OUI,NON,OUI,,MEDIUM,,OUI,NON,F,COURT,DUBOIS,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
NON,NON,NON,,MEDIUM,,OUI,NON,F,COURT,MARTENS,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
NON,NON,NON,,MEDIUM,,OUI,NON,F,COURT,BARRIER,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
OUI,NON,OUI,,MEDIUM,,OUI,NON,F,COURT,ANNE,VINCENNES,NON,OUI,DIMANCHE 15 JANVIER 2012
OUI,NON,OUI,,MEDIUM,,OUI,NON,F,COURT,GILLOT,VINCENNES,OUI,NON,DIMANCHE 15 JANVIER 2012
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,DUBOIS,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
NON,NON,OUI,,VIEUX,,OUI,NON,F,LONG,RAFFIN,VINCENNES,OUI,OUI,DIMANCHE 15 JANVIER 2012
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,VERBEECK,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
NON,NON,OUI,,VIEUX,,OUI,OUI,M,LONG,KIHLSTROM,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
NON,NON,OUI,,VIEUX,,OUI,OUI,M,LONG,NIVARD,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
OUI,NON,OUI,,MEDIUM,,OUI,NON,M,COURT,DELACOUR,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
OUI,NON,NON,,MEDIUM,,OUI,NON,M,COURT,MEGISSIER,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
NON,NON,OUI,,MEDIUM,,OUI,NON,M,COURT,LOCQUENEUX,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
OUI,NON,OUI,,MEDIUM,,OUI,NON,M,COURT,ABRIVARD,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
OUI,NON,NON,,MEDIUM,,OUI,NON,M,COURT,DAUGEARD,VINCENNES,OUI,OUI,DIMANCHE 15 JANVIER 2012
NON,NON,NON,,VIEUX,,OUI,NON,H,LONG,LOCQUENEUX,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,LEMARCHAND,VINCENNES,NON,OUI,DIMANCHE 15 JANVIER 2012
NON,NON,OUI,,VIEUX,,OUI,NON,H,LONG,NIVARD,VINCENNES,NON,OUI,DIMANCHE 15 JANVIER 2012
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,BIGEON,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
NON,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,VERBEECK,VINCENNES,OUI,NON,DIMANCHE 15 JANVIER 2012
NON,OUI,NON,,VIEUX,,OUI,NON,F,COURT,THOMAIN,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,BAZIRE,VINCENNES,OUI,OUI,DIMANCHE 15 JANVIER 2012
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,RAFFIN,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
OUI,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,BELLOCHE,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
OUI,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,VERVA,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2012
OUI,NON,NON,OUI,MEDIUM,NON,OUI,NON,F,COURT,ABRIVARD,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,LEVESQUE,VINCENNES,OUI,NON,JEUDI 15 JANVIER 2015
OUI,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,VERVA,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,OUI,OUI,NON,F,COURT,RAFFIN,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,BARRIER,VINCENNES,NON,OUI,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,VERBEECK,VINCENNES,OUI,NON,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,OUI,OUI,NON,F,COURT,LEVESQUE,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
OUI,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,KOUBICHE,VINCENNES,NON,OUI,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,OUI,OUI,NON,F,COURT,BARRIER,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
OUI,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,MARY,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
OUI,NON,NON,OUI,MEDIUM,NON,OUI,NON,H,COURT,SZIRMAY,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
NON,NON,NON,OUI,MEDIUM,NON,OUI,NON,H,COURT,LECANU,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
OUI,NON,NON,OUI,MEDIUM,NON,OUI,NON,M,COURT,SOULAT,VINCENNES,NON,OUI,JEUDI 15 JANVIER 2015
OUI,NON,OUI,OUI,MEDIUM,NON,OUI,NON,H,COURT,SENET,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
OUI,NON,NON,OUI,MEDIUM,NON,OUI,NON,H,COURT,DERSOIR,VINCENNES,OUI,NON,JEUDI 15 JANVIER 2015
OUI,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,DREUX,VINCENNES,OUI,NON,JEUDI 15 JANVIER 2015
OUI,NON,NON,OUI,MEDIUM,NON,OUI,NON,F,COURT,KRISTOFFERSSON,VINCENNES,NON,OUI,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,DUBOIS,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,VIET,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,NON,OUI,NON,F,COURT,BONNE,VINCENNES,NON,OUI,JEUDI 15 JANVIER 2015
NON,NON,NON,OUI,JEUNE,NON,OUI,NON,F,COURT,HARDY,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
NON,NON,NON,OUI,JEUNE,NON,OUI,NON,M,COURT,ABRIVARD,VINCENNES,NON,OUI,JEUDI 15 JANVIER 2015
OUI,NON,NON,OUI,JEUNE,NON,OUI,NON,F,COURT,GILLOT,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
OUI,NON,NON,OUI,JEUNE,NON,OUI,NON,H,COURT,LENOIR,VINCENNES,NON,NON,JEUDI 15 JANVIER 2015
OUI,NON,NON,OUI,JEUNE,NON,OUI,NON,F,COURT,MARIE,VINCENNES,OUI,NON,JEUDI 15 JANVIER 2015
NON,NON,OUI,OUI,MEDIUM,OUI,NON,NON,M,COURT,NIVARD,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
OUI,NON,NON,OUI,MEDIUM,OUI,NON,NON,F,COURT,BIGEON,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,H,COURT,LEBOURGEOIS,VINCENNES,NON,OUI,VENDREDI 15 JANVIER 2016
OUI,NON,OUI,OUI,MEDIUM,NON,NON,NON,M,COURT,DELACOUR,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,MEDIUM,OUI,OUI,NON,H,COURT,BARRIER,VINCENNES,OUI,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,F,COURT,LEBOURGEOIS,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,F,COURT,BARRIER,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
OUI,NON,NON,OUI,MEDIUM,OUI,OUI,NON,F,COURT,HOUEL,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,F,COURT,ABRIVARD,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,F,COURT,ANDREGHETTI,VINCENNES,OUI,OUI,VENDREDI 15 JANVIER 2016
OUI,OUI,NON,OUI,JEUNE,NON,NON,NON,F,COURT,LE BELLER,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
OUI,OUI,NON,,JEUNE,,NON,NON,F,COURT,TERRY,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
OUI,OUI,NON,OUI,JEUNE,NON,OUI,NON,F,COURT,LENOIR,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,OUI,NON,,JEUNE,,NON,NON,F,COURT,GELORMINI,VINCENNES,OUI,NON,VENDREDI 15 JANVIER 2016
NON,OUI,NON,,JEUNE,,NON,NON,F,COURT,NIVARD,VINCENNES,NON,OUI,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,F,COURT,RAFFIN,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,JEUNE,OUI,NON,NON,F,COURT,MOTTIER,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,NON,NON,OUI,JEUNE,NON,NON,NON,F,COURT,NIVARD,VINCENNES,NON,OUI,VENDREDI 15 JANVIER 2016
NON,NON,NON,OUI,JEUNE,NON,NON,NON,F,COURT,BAZIRE,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
OUI,NON,NON,OUI,JEUNE,OUI,OUI,NON,F,COURT,VERVA,VINCENNES,OUI,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,H,COURT,SENET,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,M,COURT,VERCRUYSSE,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,M,COURT,RAFFIN,VINCENNES,NON,OUI,VENDREDI 15 JANVIER 2016
NON,NON,NON,OUI,JEUNE,NON,OUI,NON,H,COURT,NIVARD,VINCENNES,NON,NON,VENDREDI 15 JANVIER 2016
OUI,NON,NON,OUI,JEUNE,NON,NON,NON,H,COURT,DERSOIR,VINCENNES,OUI,NON,VENDREDI 15 JANVIER 2016
NON,NON,NON,OUI,JEUNE,NON,NON,NON,F,COURT,GELORMINI,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,NON,NON,OUI,JEUNE,NON,NON,NON,F,COURT,THOMAIN,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
OUI,NON,NON,OUI,JEUNE,NON,NON,NON,F,COURT,BIGEON,VINCENNES,NON,OUI,DIMANCHE 15 JANVIER 2017
NON,NON,NON,OUI,JEUNE,NON,NON,NON,F,COURT,NIVARD,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,NON,NON,OUI,JEUNE,NON,OUI,NON,F,COURT,RAFFIN,VINCENNES,OUI,NON,DIMANCHE 15 JANVIER 2017
NON,OUI,OUI,OUI,MEDIUM,NON,NON,NON,F,COURT,OUVRIE,VINCENNES,OUI,NON,DIMANCHE 15 JANVIER 2017
NON,OUI,OUI,OUI,MEDIUM,NON,NON,NON,H,COURT,RAFFIN,VINCENNES,NON,OUI,DIMANCHE 15 JANVIER 2017
NON,OUI,OUI,OUI,VIEUX,NON,OUI,NON,H,COURT,THOMAIN,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,OUI,OUI,OUI,MEDIUM,NON,NON,OUI,H,COURT,BARRIER,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
OUI,OUI,NON,OUI,MEDIUM,NON,NON,OUI,H,COURT,BIGEON,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
OUI,NON,OUI,OUI,JEUNE,NON,OUI,NON,F,COURT,FEYTE,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
OUI,NON,NON,OUI,JEUNE,NON,NON,NON,H,COURT,LENOIR,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,F,COURT,LEBOURGEOIS,VINCENNES,OUI,NON,DIMANCHE 15 JANVIER 2017
NON,NON,NON,OUI,JEUNE,NON,NON,NON,F,COURT,DUBOIS,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,NON,NON,M,COURT,RAFFIN,VINCENNES,NON,OUI,DIMANCHE 15 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,M,LONG,THOMAIN,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,M,LONG,GOOP,VINCENNES,NON,OUI,DIMANCHE 15 JANVIER 2017
OUI,NON,OUI,OUI,VIEUX,NON,NON,NON,M,LONG,POU POU,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,NON,NON,OUI,MEDIUM,NON,NON,NON,M,LONG,ABRIVARD,VINCENNES,OUI,NON,DIMANCHE 15 JANVIER 2017
NON,NON,OUI,OUI,JEUNE,NON,OUI,NON,F,LONG,NIVARD,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,NON,OUI,OUI,MEDIUM,NON,NON,NON,H,LONG,MASSCHAELE,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
OUI,NON,OUI,OUI,MEDIUM,NON,NON,NON,F,LONG,BIGEON,VINCENNES,NON,OUI,DIMANCHE 15 JANVIER 2017
OUI,NON,OUI,OUI,MEDIUM,NON,NON,NON,H,LONG,HEBERT,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,NON,NON,OUI,MEDIUM,NON,NON,NON,M,LONG,NIVARD,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
OUI,NON,OUI,OUI,MEDIUM,NON,OUI,OUI,M,LONG,DREUX,VINCENNES,OUI,NON,DIMANCHE 15 JANVIER 2017
NON,OUI,OUI,OUI,JEUNE,NON,OUI,NON,F,COURT,RAFFIN,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
OUI,OUI,OUI,OUI,JEUNE,NON,NON,NON,F,COURT,DUVALDESTIN,VINCENNES,OUI,OUI,DIMANCHE 15 JANVIER 2017
NON,OUI,NON,OUI,JEUNE,NON,NON,NON,F,COURT,BARRIER,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,OUI,OUI,OUI,JEUNE,NON,NON,OUI,F,COURT,ABRIVARD,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
OUI,OUI,OUI,OUI,JEUNE,NON,NON,OUI,F,COURT,POU POU,VINCENNES,NON,NON,DIMANCHE 15 JANVIER 2017
NON,NON,NON,,VIEUX,,OUI,NON,M,COURT,DREUX,VINCENNES,NON,OUI,SAMEDI 16 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,H,COURT,BIGEON,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,NON,NON,,VIEUX,,OUI,NON,H,COURT,BAZIRE,VINCENNES,OUI,NON,SAMEDI 16 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,M,COURT,BIGEON,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,NON,NON,,VIEUX,,OUI,NON,M,COURT,VERBEECK,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
OUI,OUI,NON,,VIEUX,,OUI,NON,H,COURT,LEVESQUE,VINCENNES,NON,OUI,SAMEDI 16 JANVIER 2010
OUI,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,LENOIR,VINCENNES,OUI,NON,SAMEDI 16 JANVIER 2010
NON,OUI,NON,,VIEUX,,OUI,NON,H,COURT,OUVRIE,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,OUI,OUI,,VIEUX,,OUI,OUI,H,COURT,BAZIRE,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,OUI,NON,,VIEUX,,OUI,OUI,H,COURT,NIVARD,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,NON,F,LONG,NIVARD,VINCENNES,NON,OUI,SAMEDI 16 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,NON,F,LONG,BAZIRE,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,OUI,F,LONG,LENOIR,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,PITON,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
OUI,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,BLANDIN,VINCENNES,OUI,NON,SAMEDI 16 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,H,COURT,DERSOIR,VINCENNES,OUI,NON,SAMEDI 16 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,NON,H,COURT,VERCRUYSSE,VINCENNES,NON,OUI,SAMEDI 16 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,H,COURT,DUBOIS,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,M,COURT,BAZIRE,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,NON,NON,,VIEUX,,OUI,NON,M,COURT,THOMAIN,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,M,LONG,DUBOIS,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,GOOP,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,M,LONG,BELLOCHE,VINCENNES,NON,NON,SAMEDI 16 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,OUI,M,LONG,BAZIRE,VINCENNES,OUI,NON,SAMEDI 16 JANVIER 2010
NON,NON,NON,,VIEUX,,OUI,OUI,M,LONG,VERBEECK,VINCENNES,NON,OUI,SAMEDI 16 JANVIER 2010
NON,NON,OUI,,MEDIUM,,OUI,NON,F,COURT,LINDQVIST,VINCENNES,NON,OUI,DIMANCHE 16 JANVIER 2011
