Entraineur,Autostart,Deferre,Gagnant,Record,Gain,Crack,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
OUI,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,DUBOIS,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,JUUL,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
OUI,OUI,NON,,VIEUX,,OUI,NON,F,COURT,ABRIVARD,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,OUI,NON,,VIEUX,,OUI,NON,F,COURT,VERCRUYSSE,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
OUI,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,LABIGNE,VINCENNES,OUI,OUI,MARDI 01 JANVIER 2008
OUI,NON,OUI,,VIEUX,,OUI,NON,H,COURT,SIONNEAU,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
OUI,NON,OUI,,VIEUX,,OUI,NON,H,COURT,MASSCHAELE,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,NON,NON,,VIEUX,,OUI,NON,H,COURT,LE BELLER,VINCENNES,OUI,NON,MARDI 01 JANVIER 2008
NON,NON,OUI,,VIEUX,,OUI,NON,H,COURT,VERCRUYSSE,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,NON,OUI,,VIEUX,,OUI,NON,H,COURT,BAZIRE,VINCENNES,NON,OUI,MARDI 01 JANVIER 2008
NON,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,POREE,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,DELAMARRE,VINCENNES,NON,OUI,MARDI 01 JANVIER 2008
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,SEOANE-GIL,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,DEMOULIN,VINCENNES,NON,NON,MARDI 01 JANVIER 2008
NON,OUI,OUI,,VIEUX,,OUI,OUI,H,COURT,GRELIN,VINCENNES,OUI,NON,MARDI 01 JANVIER 2008
OUI,NON,NON,,VIEUX,,OUI,NON,H,LONG,FURET,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,RAFFIN,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,NON,,VIEUX,,OUI,NON,F,LONG,LE BELLER,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
OUI,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,ROUSSEL,VINCENNES,NON,OUI,JEUDI 01 JANVIER 2009
OUI,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,KORPI,VINCENNES,OUI,OUI,JEUDI 01 JANVIER 2009
OUI,NON,NON,,VIEUX,,OUI,NON,F,COURT,MAILLARD,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,OUI,,VIEUX,,OUI,NON,F,COURT,VERBEECK,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
OUI,NON,NON,,VIEUX,,OUI,NON,F,COURT,LAURENT,VINCENNES,NON,OUI,JEUDI 01 JANVIER 2009
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,DUVALDESTIN,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,VAN EECKHAUTE,VINCENNES,OUI,NON,JEUDI 01 JANVIER 2009
OUI,NON,OUI,,VIEUX,,OUI,NON,H,COURT,RAYON,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,NON,,VIEUX,,OUI,NON,M,COURT,NIVARD,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,OUI,,VIEUX,,OUI,NON,M,COURT,LE BELLER,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
OUI,NON,OUI,,VIEUX,,OUI,NON,H,COURT,DERSOIR,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,OUI,,VIEUX,,OUI,NON,M,COURT,BOILLEREAU,VINCENNES,OUI,OUI,JEUDI 01 JANVIER 2009
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,TOIVANEN,VINCENNES,OUI,NON,JEUDI 01 JANVIER 2009
NON,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,NIVARD,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,ABRIVARD,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
OUI,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,DUVALDESTIN,VINCENNES,NON,OUI,JEUDI 01 JANVIER 2009
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,LEVESQUE,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,NON,,VIEUX,,OUI,NON,F,LONG,ROBERT,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
OUI,NON,NON,,VIEUX,,OUI,NON,F,LONG,LEMETAYER,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,NON,,VIEUX,,OUI,NON,F,LONG,OLIVIER,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,NON,,VIEUX,,OUI,NON,F,LONG,NORBERG,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,OUI,,VIEUX,,OUI,NON,F,LONG,LAVILLE,VINCENNES,OUI,OUI,JEUDI 01 JANVIER 2009
