Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
,NON,NON,OUI,NON,NON,6,NON,NON,M,2850,NIVARD,VINCENNES,
,NON,NON,NON,NON,NON,7,NON,NON,H,2850,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,10,NON,NON,H,2850,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,7,NON,NON,F,2850,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,8,NON,NON,M,2850,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,8,OUI,NON,H,2850,AUTRES,VINCENNES,
,NON,NON,NON,NON,OUI,7,NON,NON,F,2850,AUTRES,VINCENNES,
,NON,NON,OUI,NON,NON,7,NON,OUI,F,2850,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,8,NON,OUI,H,2850,NIVARD,VINCENNES,
,NON,NON,NON,NON,NON,7,NON,NON,F,2850,AUTRES,VINCENNES,
,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,BAZIRE,VINCENNES,
,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,7,NON,NON,F,2850,AUTRES,VINCENNES,
,NON,NON,NON,NON,NON,6,NON,OUI,H,2850,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,OUI,H,2850,NIVARD,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,BAZIRE,VINCENNES,
NON,NON,NON,OUI,NON,NON,8,OUI,NON,M,2850,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,7,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,7,NON,NON,M,2700,ABRIVARD,VINCENNES,
NON,NON,NON,NON,NON,NON,8,NON,NON,H,2700,RAFFIN,VINCENNES,
OUI,NON,NON,NON,NON,NON,9,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,7,OUI,NON,M,2700,VERCRUYSSE,VINCENNES,
NON,OUI,NON,OUI,NON,NON,8,OUI,NON,F,2100,LEVESQUE,VINCENNES,
NON,OUI,NON,OUI,NON,NON,8,NON,OUI,M,2100,AUTRES,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,7,NON,NON,F,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,9,NON,NON,H,2100,NIVARD,VINCENNES,
NON,OUI,NON,NON,NON,NON,10,NON,NON,H,2100,AUTRES,VINCENNES,
NON,OUI,NON,OUI,NON,NON,4,NON,NON,F,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,4,NON,NON,F,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,4,NON,NON,M,2100,AUTRES,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,4,NON,NON,M,2100,BAZIRE,VINCENNES,
NON,OUI,NON,NON,NON,NON,5,NON,NON,F,2100,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,NON,F,2850,BAZIRE,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,F,2850,BIGEON,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,NON,F,2850,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,NON,F,2850,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,NON,F,2850,ABRIVARD,VINCENNES,
NON,OUI,NON,OUI,NON,NON,5,NON,NON,M,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,5,OUI,OUI,H,2100,RAFFIN,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,5,NON,NON,M,2100,BAZIRE,VINCENNES,
NON,OUI,NON,NON,NON,NON,5,NON,NON,F,2100,ABRIVARD,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,4,NON,NON,F,2100,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,5,NON,NON,F,2850,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,5,NON,NON,F,2850,BIGEON,VINCENNES,
NON,NON,NON,OUI,NON,NON,5,NON,NON,F,2850,BAZIRE,VINCENNES,
NON,NON,NON,NON,NON,NON,5,NON,NON,F,2850,OUVRIE,VINCENNES,
OUI,NON,NON,NON,NON,NON,5,NON,NON,F,2850,AUTRES,VINCENNES,
NON,OUI,NON,OUI,NON,NON,8,NON,OUI,H,2100,LEVESQUE,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,6,NON,NON,F,2100,BAZIRE,VINCENNES,
OUI,OUI,NON,OUI,NON,NON,6,NON,OUI,H,2100,AUTRES,VINCENNES,
NON,OUI,NON,NON,NON,NON,8,NON,NON,F,2100,AUTRES,VINCENNES,
OUI,OUI,NON,NON,NON,NON,7,NON,NON,F,2100,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,7,NON,NON,H,2700,ABRIVARD,VINCENNES,
