Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2700,E. raffin,VINCENNES,2 Janvier 2016
NON,OUI,NON,OUI,NON,NON,5,NON,NON,F, 2100,W. bigeon,VINCENNES,2 Janvier 2016
NON,OUI,NON,OUI,NON,NON,5,NON,NON,F, 2100,A. abriva.,VINCENNES,2 Janvier 2016
NON,OUI,NON,OUI,NON,NON,5,NON,NON,F, 2100,M. abriva.,VINCENNES,2 Janvier 2016
NON,OUI,OUI,OUI,NON,NON,5,NON,NON,F, 2100,F. anne,VINCENNES,2 Janvier 2016
NON,OUI,NON,NON,NON,OUI,5,NON,NON,F, 2100,Ch. chalon,VINCENNES,2 Janvier 2016
NON,OUI,OUI,OUI,NON,NON,9,NON,NON,M, 2100,E. raffin,VINCENNES,2 Janvier 2017
NON,OUI,OUI,NON,NON,OUI,1,NON,NON,H, 2100,M. abriva.,VINCENNES,2 Janvier 2017
NON,OUI,OUI,NON,NON,NON,8,NON,NON,H, 2100,A. barrier,VINCENNES,2 Janvier 2017
NON,OUI,OUI,OUI,NON,NON,9,NON,NON,H, 2100,J.m. bazi.,VINCENNES,2 Janvier 2017
NON,OUI,OUI,OUI,NON,NON,9,NON,NON,H, 2100,M. daouga.,VINCENNES,2 Janvier 2017
NON,OUI,OUI,OUI,NON,NON,7,NON,NON,F, 2100,J.m. bazi.,VINCENNES,2 Janvier 2017
NON,OUI,NON,NON,NON,NON,7,NON,NON,F, 2100,M. bezier,VINCENNES,2 Janvier 2017
NON,OUI,OUI,NON,NON,NON,7,NON,NON,F, 2100,D. bonne,VINCENNES,2 Janvier 2017
NON,OUI,OUI,OUI,NON,NON,7,NON,NON,F, 2100,F. nivard,VINCENNES,2 Janvier 2017
NON,OUI,OUI,NON,NON,NON,7,NON,NON,F, 2100,D. locque.,VINCENNES,2 Janvier 2017
NON,OUI,OUI,OUI,NON,NON,7,NON,NON,F, 2100,M.g. lema.,VINCENNES,2 Janvier 2017
NON,OUI,NON,NON,NON,NON,8,NON,NON,H, 2100,P.m. alla.,VINCENNES,2 Janvier 2017
NON,OUI,OUI,NON,NON,NON,8,NON,NON,H, 2100,Ch. roszak,VINCENNES,2 Janvier 2017
NON,OUI,OUI,NON,NON,NON,7,NON,NON,H, 2100,Mme v. bo.,VINCENNES,2 Janvier 2017
NON,OUI,OUI,NON,NON,NON,9,NON,NON,H, 2100,D. crespel,VINCENNES,2 Janvier 2017
NON,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2700,A. barrier,VINCENNES,2 Janvier 2017
NON,NON,NON,NON,NON,NON,6,NON,NON,H, 2700,W. bigeon,VINCENNES,2 Janvier 2017
NON,NON,OUI,NON,NON,NON,6,NON,NON,H, 2700,J. dubois,VINCENNES,2 Janvier 2017
NON,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2700,J.m. bazi.,VINCENNES,2 Janvier 2017
NON,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2700,J.f. senet,VINCENNES,2 Janvier 2017
