Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
P.Y. Verva;;2850;NON;NON;NON;7;M;NON;NON;NON;NON;VINCENNES;
J. Baudron;;2850;OUI;NON;NON;8;M;NON;NON;OUI;NON;VINCENNES;
F. Nivard;;2850;NON;NON;NON;6;M;NON;NON;OUI;NON;VINCENNES;
S. Roger;;2850;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
D. Thomain;;2850;NON;NON;NON;10;H;NON;NON;NON;NON;VINCENNES;
Ph. Daugeard;;2850;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
J.Ph. Dubois;;2850;NON;NON;NON;8;M;NON;NON;NON;NON;VINCENNES;
J. Guelpa;;2850;NON;NON;NON;8;H;OUI;NON;NON;NON;VINCENNES;
S.J.L. Tessie;;2850;NON;NON;NON;7;F;NON;NON;NON;OUI;VINCENNES;
A. Thomas;;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;;2850;OUI;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
A. Barrier;;2850;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
R. Bergh;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
J. Niskanen;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
F. Anne;;2850;NON;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
J. Verbeeck;;2850;OUI;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2850;OUI;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux;NON;2850;NON;NON;NON;8;M;OUI;NON;OUI;NON;VINCENNES;
R. Bergh;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
J. Niskanen;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
S. Baude;OUI;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;NON;2700;NON;NON;NON;7;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
F. Lagadeuc;OUI;2700;NON;NON;NON;9;H;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;NON;2700;NON;NON;NON;7;M;OUI;NON;NON;NON;VINCENNES;
P. Levesque;NON;2100;NON;OUI;NON;8;F;OUI;NON;OUI;NON;VINCENNES;
D. Bonne;NON;2100;OUI;OUI;NON;8;M;NON;NON;OUI;NON;VINCENNES;
Ph. Daugeard;OUI;2100;NON;OUI;NON;7;F;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2100;NON;OUI;NON;9;H;NON;NON;NON;NON;VINCENNES;
D. Thomain;NON;2100;NON;OUI;NON;10;H;NON;NON;NON;NON;VINCENNES;
M. Mottier;NON;2100;NON;OUI;NON;4;F;NON;NON;OUI;NON;VINCENNES;
J. Dubois;NON;2100;NON;OUI;NON;4;F;NON;NON;NON;NON;VINCENNES;
E. Bellei;NON;2100;NON;OUI;NON;4;M;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;OUI;2100;NON;OUI;NON;4;M;NON;NON;OUI;NON;VINCENNES;
Mlle J. Lindq;NON;2100;NON;OUI;NON;5;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
Ch. Bigeon;OUI;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
Ph. Ternisien;OUI;2850;NON;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
Th. Viet;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux;NON;2100;NON;OUI;NON;5;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2100;OUI;OUI;NON;5;H;OUI;NON;NON;NON;VINCENNES;
J.M. Bazire;OUI;2100;NON;OUI;NON;5;M;NON;NON;OUI;NON;VINCENNES;
A. Abrivard;NON;2100;NON;OUI;NON;5;F;NON;NON;NON;NON;VINCENNES;
J.P. Dubois;OUI;2100;NON;OUI;NON;4;F;NON;NON;OUI;NON;VINCENNES;
Th. Viet;NON;2850;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
Ch. Bigeon;OUI;2850;NON;NON;NON;5;F;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2850;NON;NON;NON;5;F;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;NON;2850;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
D. Cordeau;OUI;2850;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2100;OUI;OUI;NON;8;H;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;OUI;2100;NON;OUI;NON;6;F;NON;NON;OUI;NON;VINCENNES;
R. Bergh;OUI;2100;OUI;OUI;NON;6;H;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2100;NON;OUI;NON;8;F;NON;NON;NON;NON;VINCENNES;
A. Thomas;OUI;2100;NON;OUI;NON;7;F;NON;NON;NON;NON;VINCENNES;
J. Dubois;NON;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
M. Abrivard;OUI;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux;NON;2700;NON;NON;NON;8;H;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;NON;6;M;OUI;NON;OUI;NON;VINCENNES;
F. Nivard;OUI;2700;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
F.P. Bossuet;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
D. Bonne;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;VINCENNES;
J. Bruneau;OUI;2850;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
W. Bigeon;NON;2850;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
