;Drivers;Entraineur;Distance;Recul/Ligne;Autostart;Déferré;AGE;Sexe;Parmi 5 premiers dernière 5 courses;Gagné 3 dernières courses;côte < 10/1;côte > 70/1;;
;J. Guelpa;;2850;NON;NON;NON;8;H;OUI;NON;NON;NON;;
;S.J.L. Tessie;;2850;NON;NON;NON;7;F;NON;NON;NON;OUI;;
;A. Thomas;;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;;
;F. Nivard;;2850;OUI;NON;NON;8;H;NON;NON;NON;NON;;
;A. Barrier;;2850;NON;NON;NON;7;F;NON;NON;NON;NON;;
;J.M. Bazire;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;R. Bergh;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;J. Niskanen;;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;F. Anne;;2850;NON;NON;NON;7;F;NON;NON;NON;NON;;
;J. Verbeeck;;2850;OUI;NON;NON;6;H;NON;NON;NON;NON;;
;F. Nivard;NON;2850;OUI;NON;NON;6;H;NON;NON;OUI;NON;;
;J.M. Bazire;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;D. Locqueneux;NON;2850;NON;NON;NON;8;M;OUI;NON;OUI;NON;;
;R. Bergh;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;J. Niskanen;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;S. Baude;OUI;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;;
;M. Abrivard;NON;2700;NON;NON;NON;7;M;NON;NON;NON;NON;;
;E. Raffin;NON;2700;NON;NON;NON;8;H;NON;NON;NON;NON;;
;F. Lagadeuc;OUI;2700;NON;NON;NON;9;H;NON;NON;NON;NON;;
;P. Vercruysse;NON;2700;NON;NON;NON;7;M;OUI;NON;NON;NON;;
;P. Levesque;NON;2100;NON;OUI;NON;8;F;OUI;NON;OUI;NON;;
;D. Bonne;NON;2100;OUI;OUI;NON;8;M;NON;NON;OUI;NON;;
;Ph. Daugeard;OUI;2100;NON;OUI;NON;7;F;NON;NON;OUI;NON;;
;F. Nivard;NON;2100;NON;OUI;NON;9;H;NON;NON;NON;NON;;
;D. Thomain;NON;2100;NON;OUI;NON;10;H;NON;NON;NON;NON;;
;M. Mottier;NON;2100;NON;OUI;NON;4;F;NON;NON;OUI;NON;;
;J. Dubois;NON;2100;NON;OUI;NON;4;F;NON;NON;NON;NON;;
;E. Bellei;NON;2100;NON;OUI;NON;4;M;NON;NON;NON;NON;;
;J.M. Bazire;OUI;2100;NON;OUI;NON;4;M;NON;NON;OUI;NON;;
;Mlle J. Lindq;NON;2100;NON;OUI;NON;5;F;NON;NON;NON;NON;;
;J.M. Bazire;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;;
;Ch. Bigeon;OUI;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;;
;Ph. Ternisien;OUI;2850;NON;NON;NON;6;F;NON;NON;NON;NON;;
;Th. Viet;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;;
;M. Abrivard;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;;
;D. Locqueneux;NON;2100;NON;OUI;NON;5;M;NON;NON;OUI;NON;;
;E. Raffin;NON;2100;OUI;OUI;NON;5;H;OUI;NON;NON;NON;;
