Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,NON,OUI,NON,NON,3,NON,NON,M, 2175,AUTRES,VINCENNES,6 FEVRIER 2016
NON,NON,NON,OUI,NON,NON,3,NON,NON,M, 2175,AUTRES,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,NON,F, 2850,AUTRES,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,NON,H, 2850,NIVARD,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,NON,H, 2850,ABRIVARD,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,9,NON,OUI,H, 2850,AUTRES,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,9,NON,OUI,H, 2850,AUTRES,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,F, 2700,RAFFIN,VINCENNES,6 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,F, 2700,BAZIRE,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,F, 2700,ABRIVARD,VINCENNES,6 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,6,NON,NON,F, 2700,AUTRES,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,F, 2700,OUVRIE,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,4,NON,NON,H, 2100,ABRIVARD,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2100,AUTRES,VINCENNES,6 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2100,AUTRES,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,4,NON,NON,M, 2100,ABRIVARD,VINCENNES,6 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2100,NIVARD,VINCENNES,6 FEVRIER 2016
NON,OUI,NON,OUI,NON,NON,5,NON,NON,H, 2100,AUTRES,VINCENNES,7 FEVRIER 2016
NON,OUI,NON,OUI,NON,NON,5,NON,NON,M, 2100,ABRIVARD,VINCENNES,7 FEVRIER 2016
OUI,OUI,OUI,NON,NON,NON,5,NON,NON,H, 2100,AUTRES,VINCENNES,7 FEVRIER 2016
NON,OUI,OUI,NON,NON,NON,5,NON,NON,H, 2100,RAFFIN,VINCENNES,7 FEVRIER 2016
NON,OUI,OUI,NON,NON,NON,5,NON,NON,H, 2100,AUTRES,VINCENNES,7 FEVRIER 2016
NON,OUI,NON,OUI,NON,NON,4,NON,NON,H, 2100,ABRIVARD,VINCENNES,7 FEVRIER 2016
NON,OUI,OUI,NON,NON,OUI,4,NON,NON,H, 2100,AUTRES,VINCENNES,7 FEVRIER 2016
OUI,OUI,OUI,OUI,NON,NON,4,NON,NON,M, 2100,BAZIRE,VINCENNES,7 FEVRIER 2016
OUI,OUI,NON,NON,NON,NON,4,NON,NON,H, 2100,AUTRES,VINCENNES,7 FEVRIER 2016
NON,OUI,OUI,NON,NON,NON,4,NON,NON,M, 2100,NIVARD,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2850,ABRIVARD,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,6,NON,OUI,F, 2850,BAZIRE,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,8,NON,OUI,H, 2850,AUTRES,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,7,NON,OUI,M, 2850,NIVARD,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,7,NON,OUI,F, 2850,AUTRES,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,8,NON,NON,M, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,M, 2700,BAZIRE,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,9,NON,NON,H, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
NON,NON,NON,NON,NON,OUI,1,NON,NON,F, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,8,NON,NON,H, 2700,ABRIVARD,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,M, 2700,RAFFIN,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,M, 2700,VERCRUYSSE,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,5,NON,NON,M, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,M, 2700,ABRIVARD,VINCENNES,7 FEVRIER 2016
NON,NON,NON,OUI,NON,NON,6,NON,NON,M, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,4,NON,NON,F, 2700,AUTRES,VINCENNES,8 FEVRIER 2016
NON,NON,NON,NON,NON,OUI,4,NON,NON,F, 2700,BAZIRE,VINCENNES,8 FEVRIER 2016
NON,NON,NON,NON,NON,OUI,4,NON,NON,F, 2700,AUTRES,VINCENNES,8 FEVRIER 2016
OUI,NON,NON,NON,NON,NON,4,NON,NON,F, 2700,ABRIVARD,VINCENNES,8 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,F, 2700,AUTRES,VINCENNES,8 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,7,NON,NON,H, 2700,BAZIRE,VINCENNES,8 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,NON,M, 2700,AUTRES,VINCENNES,8 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,NON,M, 2700,ABRIVARD,VINCENNES,8 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,7,NON,NON,H, 2700,OUVRIE,VINCENNES,8 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,NON,H, 2700,NIVARD,VINCENNES,8 FEVRIER 2016
OUI,OUI,OUI,OUI,NON,NON,5,NON,NON,F, 2100,BAZIRE,VINCENNES,8 FEVRIER 2016
NON,OUI,OUI,OUI,NON,NON,5,NON,NON,F, 2100,AUTRES,VINCENNES,8 FEVRIER 2016
NON,OUI,OUI,OUI,NON,NON,5,NON,NON,F, 2100,RAFFIN,VINCENNES,8 FEVRIER 2016
OUI,OUI,OUI,NON,NON,NON,5,NON,NON,F, 2100,AUTRES,VINCENNES,8 FEVRIER 2016
NON,OUI,OUI,NON,NON,NON,5,NON,NON,F, 2100,AUTRES,VINCENNES,8 FEVRIER 2016
OUI,OUI,NON,OUI,NON,NON,3,NON,NON,H, 2100,AUTRES,VINCENNES,8 FEVRIER 2016
OUI,OUI,NON,OUI,NON,NON,3,NON,NON,F, 2100,BAZIRE,VINCENNES,8 FEVRIER 2016
NON,OUI,NON,OUI,NON,NON,3,NON,NON,M, 2100,AUTRES,VINCENNES,8 FEVRIER 2016
NON,OUI,OUI,NON,NON,NON,3,NON,NON,F, 2100,NIVARD,VINCENNES,8 FEVRIER 2016
NON,OUI,NON,NON,NON,NON,3,NON,NON,M, 2100,VERVA,VINCENNES,8 FEVRIER 2016
NON,OUI,NON,OUI,NON,NON,8,NON,NON,H, 2150,AUTRES,CAGNES,9 FEVRIER 2016
NON,OUI,OUI,OUI,NON,NON,7,NON,NON,H, 2150,AUTRES,CAGNES,9 FEVRIER 2016
NON,OUI,NON,OUI,NON,NON,1,NON,NON,H, 2150,AUTRES,CAGNES,9 FEVRIER 2016
NON,OUI,OUI,NON,NON,NON,8,NON,NON,H, 2150,AUTRES,CAGNES,9 FEVRIER 2016
NON,OUI,OUI,NON,NON,OUI,8,NON,NON,H, 2150,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,NON,NON,NON,NON,3,NON,NON,F, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,NON,OUI,NON,NON,3,NON,NON,F, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,NON,OUI,NON,NON,3,NON,NON,F, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,NON,NON,NON,NON,3,NON,NON,F, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,NON,OUI,NON,NON,3,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,8,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,9,NON,NON,M, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,7,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,NON,NON,NON,NON,8,NON,NON,F, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,9,NON,OUI,M, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,NON,NON,NON,OUI,4,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,NON,OUI,NON,NON,4,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,4,NON,NON,M, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,8,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,7,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,OUI,OUI,NON,7,OUI,NON,F, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,NON,OUI,NON,NON,5,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,8,NON,NON,F, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,OUI,NON,NON,OUI,4,NON,NON,H, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,NON,NON,NON,NON,4,NON,NON,F, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,NON,OUI,NON,NON,4,NON,NON,M, 2925,AUTRES,CAGNES,9 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,4,NON,OUI,F, 2925,AUTRES,CAGNES,9 FEVRIER 2016
OUI,OUI,OUI,OUI,NON,NON,7,NON,NON,H, 2150,DREUX,ENGHIEN,2 MARS 2016
NON,OUI,NON,OUI,NON,NON,7,NON,NON,H, 2150,ABRIVARD,ENGHIEN,2 MARS 2016
NON,OUI,OUI,OUI,NON,NON,7,NON,NON,M, 2150,NIVARD,ENGHIEN,2 MARS 2016
OUI,OUI,OUI,NON,NON,NON,8,NON,NON,H, 2150,AUTRES,ENGHIEN,2 MARS 2016
NON,OUI,OUI,NON,NON,NON,9,NON,NON,H, 2150,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,NON,NON,NON,NON,6,NON,NON,M, 2875,ABRIVARD,ENGHIEN,2 MARS 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,H, 2875,RAFFIN,ENGHIEN,2 MARS 2016
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2875,BIGEON,ENGHIEN,2 MARS 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,M, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,M, 2875,NIVARD,ENGHIEN,2 MARS 2016
NON,NON,OUI,NON,NON,NON,7,NON,OUI,F, 2875,BAZIRE,ENGHIEN,2 MARS 2016
NON,NON,OUI,NON,NON,NON,8,NON,OUI,H, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,8,NON,OUI,H, 2875,ABRIVARD,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,7,NON,OUI,H, 2875,RAFFIN,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,7,NON,OUI,H, 2875,NIVARD,ENGHIEN,2 MARS 2016
OUI,NON,NON,NON,NON,NON,4,NON,NON,F, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,4,NON,NON,F, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,NON,NON,NON,NON,4,NON,NON,F, 2875,ABRIVARD,ENGHIEN,2 MARS 2016
NON,NON,NON,NON,NON,NON,4,NON,NON,F, 2875,RAFFIN,ENGHIEN,2 MARS 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,F, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,NON,NON,NON,NON,8,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2700,RAFFIN,VINCENNES,3 MARS 2016
NON,NON,NON,OUI,NON,NON,7,NON,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,NON,NON,NON,8,NON,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,NON,NON,NON,9,NON,NON,F, 2700,AUTRES,VINCENNES,3 MARS 2016
OUI,NON,OUI,NON,NON,NON,5,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,NON,NON,NON,5,NON,NON,H, 2700,NIVARD,VINCENNES,3 MARS 2016
NON,NON,NON,NON,NON,NON,5,NON,NON,M, 2700,ABRIVARD,VINCENNES,3 MARS 2016
OUI,NON,NON,NON,NON,NON,5,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
OUI,NON,OUI,OUI,NON,NON,5,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,OUI,NON,NON,4,OUI,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,NON,NON,NON,NON,4,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,NON,NON,NON,4,NON,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2700,BAZIRE,VINCENNES,3 MARS 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,OUI,OUI,OUI,NON,NON,7,NON,NON,F, 2150,AUTRES,CAGNES,4 MARS 2016
NON,OUI,OUI,NON,NON,NON,8,NON,NON,H, 2150,AUTRES,CAGNES,4 MARS 2016
NON,OUI,OUI,NON,NON,NON,7,NON,NON,H, 2150,AUTRES,CAGNES,4 MARS 2016
NON,OUI,OUI,NON,NON,NON,8,NON,NON,H, 2150,AUTRES,CAGNES,4 MARS 2016
NON,OUI,NON,NON,NON,OUI,7,NON,NON,F, 2150,AUTRES,CAGNES,4 MARS 2016
OUI,NON,OUI,OUI,NON,NON,1,NON,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,OUI,NON,NON,NON,1,NON,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
OUI,NON,OUI,OUI,NON,NON,1,NON,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
OUI,NON,OUI,OUI,NON,NON,8,NON,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,OUI,OUI,NON,NON,7,NON,NON,M, 2925,AUTRES,CAGNES,4 MARS 2016
OUI,OUI,OUI,NON,NON,NON,1,NON,NON,H, 2150,AUTRES,CAGNES,4 MARS 2016
NON,OUI,OUI,OUI,NON,NON,7,NON,NON,F, 2150,AUTRES,CAGNES,4 MARS 2016
NON,OUI,OUI,OUI,NON,NON,1,OUI,NON,H, 2150,AUTRES,CAGNES,4 MARS 2016
NON,OUI,NON,NON,NON,NON,1,NON,NON,F, 2150,AUTRES,CAGNES,4 MARS 2016
OUI,OUI,OUI,OUI,NON,NON,1,NON,NON,H, 2150,AUTRES,CAGNES,4 MARS 2016
NON,NON,OUI,NON,NON,NON,4,NON,NON,M, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,NON,OUI,NON,NON,4,NON,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,NON,NON,NON,NON,4,NON,NON,F, 2925,AUTRES,CAGNES,4 MARS 2016
OUI,NON,NON,NON,NON,NON,4,NON,NON,M, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,OUI,NON,NON,NON,4,NON,NON,M, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,NON,NON,NON,NON,6,NON,NON,M, 2925,AUTRES,CAGNES,4 MARS 2016
OUI,NON,OUI,NON,NON,NON,6,NON,NON,M, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,NON,NON,NON,NON,5,OUI,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
OUI,NON,OUI,OUI,NON,NON,5,NON,NON,F, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,OUI,NON,NON,NON,5,NON,NON,H, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,OUI,OUI,NON,NON,5,NON,NON,H, 2925,NIVARD,CAGNES,4 MARS 2016
OUI,NON,OUI,OUI,NON,NON,5,NON,NON,F, 2925,AUTRES,CAGNES,4 MARS 2016
NON,NON,OUI,NON,NON,NON,4,NON,NON,M, 2700,RAFFIN,VINCENNES,5 MARS 2016
NON,NON,NON,NON,NON,NON,4,NON,NON,H, 2700,NIVARD,VINCENNES,5 MARS 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2700,BAZIRE,VINCENNES,5 MARS 2016
NON,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2700,AUTRES,VINCENNES,5 MARS 2016
NON,NON,OUI,NON,NON,NON,4,NON,NON,H, 2700,AUTRES,VINCENNES,5 MARS 2016
NON,NON,NON,NON,NON,NON,6,NON,NON,F, 2200,AUTRES,VINCENNES,5 MARS 2016
NON,NON,NON,NON,NON,OUI,5,NON,NON,F, 2200,AUTRES,VINCENNES,5 MARS 2016
NON,NON,OUI,OUI,NON,NON,5,NON,NON,M, 2200,NIVARD,VINCENNES,5 MARS 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,M, 2200,AUTRES,VINCENNES,5 MARS 2016
NON,NON,OUI,NON,NON,NON,5,NON,NON,F, 2200,RAFFIN,VINCENNES,5 MARS 2016
NON,OUI,OUI,OUI,NON,NON,7,NON,NON,F, 2100,NIVARD,VINCENNES,5 MARS 2016
NON,OUI,OUI,NON,NON,NON,8,NON,NON,H, 2100,AUTRES,VINCENNES,5 MARS 2016
OUI,OUI,OUI,NON,NON,NON,9,NON,NON,H, 2100,AUTRES,VINCENNES,5 MARS 2016
NON,OUI,NON,OUI,NON,NON,8,NON,NON,M, 2100,AUTRES,VINCENNES,5 MARS 2016
