Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,NON,NON,NON,NON,6,NON,NON,M, 2875,ABRIVARD,ENGHIEN,2 MARS 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,H, 2875,RAFFIN,ENGHIEN,2 MARS 2016
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2875,BIGEON,ENGHIEN,2 MARS 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,M, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,M, 2875,NIVARD,ENGHIEN,2 MARS 2016
NON,NON,OUI,NON,NON,NON,7,NON,OUI,F, 2875,BAZIRE,ENGHIEN,2 MARS 2016
NON,NON,OUI,NON,NON,NON,8,NON,OUI,H, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,8,NON,OUI,H, 2875,ABRIVARD,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,7,NON,OUI,H, 2875,RAFFIN,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,7,NON,OUI,H, 2875,NIVARD,ENGHIEN,2 MARS 2016
OUI,NON,NON,NON,NON,NON,4,NON,NON,F, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,OUI,OUI,NON,NON,4,NON,NON,F, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,NON,NON,NON,NON,4,NON,NON,F, 2875,ABRIVARD,ENGHIEN,2 MARS 2016
NON,NON,NON,NON,NON,NON,4,NON,NON,F, 2875,RAFFIN,ENGHIEN,2 MARS 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,F, 2875,AUTRES,ENGHIEN,2 MARS 2016
NON,NON,NON,NON,NON,NON,8,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2700,RAFFIN,VINCENNES,3 MARS 2016
NON,NON,NON,OUI,NON,NON,7,NON,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,NON,NON,NON,8,NON,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,NON,NON,NON,9,NON,NON,F, 2700,AUTRES,VINCENNES,3 MARS 2016
OUI,NON,OUI,NON,NON,NON,5,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,NON,NON,NON,5,NON,NON,H, 2700,NIVARD,VINCENNES,3 MARS 2016
NON,NON,NON,NON,NON,NON,5,NON,NON,M, 2700,ABRIVARD,VINCENNES,3 MARS 2016
OUI,NON,NON,NON,NON,NON,5,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
OUI,NON,OUI,OUI,NON,NON,5,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,OUI,NON,NON,4,OUI,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,NON,NON,NON,NON,4,NON,NON,H, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,NON,NON,NON,4,NON,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
NON,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2700,BAZIRE,VINCENNES,3 MARS 2016
OUI,NON,OUI,OUI,NON,NON,4,NON,NON,M, 2700,AUTRES,VINCENNES,3 MARS 2016
