Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,OUI,OUI,OUI,NON,NON,MEDIUM,NON,NON,F,COURT,,VINCENNES,1 JANVIER 2016
NON,OUI,NON,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,ALLARD,VINCENNES,1 JANVIER 2016
NON,OUI,OUI,NON,NON,NON,MEDIUM,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2016
NON,OUI,OUI,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2016
NON,OUI,OUI,NON,NON,NON,MEDIUM,NON,OUI,H,COURT,,VINCENNES,1 JANVIER 2016
NON,NON,OUI,NON,OUI,NON,MEDIUM,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2016
NON,NON,NON,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,BIGEON,VINCENNES,1 JANVIER 2016
NON,NON,OUI,NON,NON,NON,MEDIUM,NON,NON,H,COURT,DUBOIS,VINCENNES,1 JANVIER 2016
NON,NON,OUI,OUI,NON,NON,MEDIUM,NON,NON,H,COURT,BAZIRE,VINCENNES,1 JANVIER 2016
OUI,NON,OUI,NON,OUI,NON,MEDIUM,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2016
OUI,NON,OUI,NON,NON,NON,MEDIUM,NON,NON,H,COURT,BIGEON,VINCENNES,1 JANVIER 2016
NON,NON,OUI,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,BAZIRE,VINCENNES,1 JANVIER 2016
NON,NON,OUI,NON,NON,OUI,MEDIUM,NON,NON,M,COURT,BONNE,VINCENNES,1 JANVIER 2016
NON,NON,OUI,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,DREUX,VINCENNES,1 JANVIER 2016
NON,NON,OUI,OUI,OUI,NON,MEDIUM,NON,NON,H,COURT,RAFFIN,VINCENNES,1 JANVIER 2016
NON,OUI,OUI, ,NON, ,MEDIUM,NON,NON,F,COURT,RAFFIN,VINCENNES,1 JANVIER 2016
