Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,OUI,NON,NON,NON,7,NON,OUI,M, 2850,NIVARD,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,7,NON,OUI,F, 2850,AUTRES,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,8,NON,NON,M, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,6,NON,NON,M, 2700,BAZIRE,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,9,NON,NON,H, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
NON,NON,NON,NON,NON,OUI,1,NON,NON,F, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,OUI,NON,NON,8,NON,NON,H, 2700,ABRIVARD,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,M, 2700,RAFFIN,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,M, 2700,VERCRUYSSE,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,OUI,NON,NON,5,NON,NON,M, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
NON,NON,OUI,NON,NON,NON,6,NON,NON,M, 2700,ABRIVARD,VINCENNES,7 FEVRIER 2016
NON,NON,NON,OUI,NON,NON,6,NON,NON,M, 2700,AUTRES,VINCENNES,7 FEVRIER 2016
OUI,NON,OUI,NON,NON,NON,4,NON,NON,F, 2700,AUTRES,VINCENNES,8 FEVRIER 2016
NON,NON,NON,NON,NON,OUI,4,NON,NON,F, 2700,BAZIRE,VINCENNES,8 FEVRIER 2016
NON,NON,NON,NON,NON,OUI,4,NON,NON,F, 2700,AUTRES,VINCENNES,8 FEVRIER 2016
OUI,NON,NON,NON,NON,NON,4,NON,NON,F, 2700,ABRIVARD,VINCENNES,8 FEVRIER 2016
