Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
NON,F,NON,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,H,NON,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,ABRIVARD,No
OUI,M,NON,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,OUVRIE,OUVRIE,No
NON,M,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,OUVRIE,No
OUI,F,OUI,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,VERVA,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,RAFFIN,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,OUI,BAZIRE,BAZIRE,No
NON,H,OUI,OUI,OUI,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,F,OUI,NON,OUI,COURT,NON,OUI,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,OUI,COURT,OUI,OUI,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,NON,NON,NON,COURT,OUI,OUI,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,M,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,OUI,OUI,JEUNE,NON,OUI,ABRIVARD,ABRIVARD,No
OUI,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,VERVA,ABRIVARD,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,OUI,RAFFIN,NIVARD,No
NON,H,OUI,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,M,NON,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,ABRIVARD,RAFFIN,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,NIVARD,ABRIVARD,No
