Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
OUI,F,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,F,OUI,NON,OUI,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
OUI,F,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,F,NON,OUI,NON,COURT,OUI,OUI,JEUNE,OUI,NON,NIVARD,NIVARD,No
NON,H,OUI,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,H,OUI,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,NON,OUI,JEUNE,OUI,OUI,ABRIVARD,RAFFIN,No
NON,H,NON,OUI,NON,COURT,NON,OUI,JEUNE,OUI,NON,NIVARD,NIVARD,No
NON,F,OUI,NON,OUI,COURT,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,OUI,NON,OUI,COURT,OUI,NON,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,M,NON,OUI,OUI,COURT,OUI,NON,JEUNE,OUI,NON,NIVARD,NIVARD,No
NON,F,OUI,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,VERVA,BAZIRE,No
NON,F,OUI,NON,NON,LONG,OUI,NON,MEDIUM,NON,NON,RAFFIN,BIGEON,No
NON,H,NON,OUI,NON,COURT,OUI,OUI,JEUNE,OUI,NON,BAZIRE,NIVARD,No
NON,H,OUI,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,BAZIRE,OUVRIE,No
NON,H,NON,NON,OUI,LONG,NON,NON,JEUNE,OUI,NON,BIGEON,BIGEON,No
NON,H,OUI,NON,NON,LONG,OUI,NON,MEDIUM,OUI,NON,NIVARD,NIVARD,No
NON,H,OUI,OUI,OUI,LONG,OUI,NON,JEUNE,NON,NON,BIGEON,BIGEON,No
NON,H,OUI,OUI,OUI,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,BIGEON,No
NON,M,OUI,OUI,OUI,COURT,NON,NON,MEDIUM,OUI,OUI,DREUX,DREUX,No
NON,H,OUI,OUI,NON,COURT,NON,NON,MEDIUM,OUI,NON,MARTENS,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,NON,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,F,NON,OUI,OUI,COURT,NON,NON,JEUNE,NON,NON,BIGEON,BIGEON,No
NON,F,NON,OUI,NON,COURT,OUI,NON,JEUNE,OUI,OUI,OUVRIE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,OUI,OUI,VERVA,BAZIRE,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,OUI,COURT,OUI,NON,MEDIUM,NON,NON,BIGEON,BIGEON,No
NON,F,OUI,NON,OUI,COURT,OUI,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,OUI,COURT,OUI,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,OUI,COURT,OUI,NON,MEDIUM,NON,NON,BIGEON,BIGEON,No
NON,H,NON,OUI,NON,COURT,OUI,NON,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,M,NON,OUI,NON,COURT,OUI,NON,JEUNE,OUI,NON,BIGEON,RAFFIN,No
NON,M,NON,OUI,NON,COURT,OUI,NON,JEUNE,OUI,NON,RAFFIN,RAFFIN,No
NON,H,OUI,NON,OUI,COURT,OUI,OUI,MEDIUM,OUI,NON,DREUX,BAZIRE,No
NON,F,OUI,NON,OUI,COURT,OUI,OUI,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,OUI,COURT,NON,OUI,JEUNE,NON,NON,BAZIRE,VERVA,No
NON,M,OUI,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,RAFFIN,RAFFIN,No
NON,M,OUI,NON,NON,LONG,NON,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,BIGEON,BIGEON,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,NON,RAFFIN,BAZIRE,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,OUI,NON,RAFFIN,ABRIVARD,No
NON,F,OUI,NON,OUI,COURT,NON,OUI,MEDIUM,NON,NON,DREUX,DREUX,No
OUI,F,OUI,NON,NON,COURT,NON,OUI,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
OUI,F,NON,NON,OUI,COURT,NON,OUI,MEDIUM,OUI,NON,VERVA,VERVA,No
NON,H,OUI,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,NON,OUVRIE,RAFFIN,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,VERVA,ABRIVARD,No
OUI,M,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,ABRIVARD,RAFFIN,No
NON,H,OUI,OUI,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,OUI,NON,NIVARD,BAZIRE,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,OUI,OUI,ABRIVARD,RAFFIN,No
NON,M,OUI,NON,OUI,COURT,NON,NON,JEUNE,OUI,NON,DREUX,DREUX,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,NIVARD,RAFFIN,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,OUI,NON,NIVARD,BAZIRE,No
OUI,H,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,OUI,NON,RAFFIN,ABRIVARD,No
OUI,F,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,OUI,NON,OUVRIE,OUVRIE,No
NON,F,OUI,OUI,OUI,COURT,NON,OUI,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,ABRIVARD,OUVRIE,No
NON,M,OUI,OUI,OUI,COURT,OUI,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,F,OUI,NON,OUI,LONG,OUI,NON,JEUNE,OUI,NON,BAZIRE,ABRIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
OUI,F,OUI,NON,NON,COURT,NON,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
OUI,H,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,OUVRIE,No
NON,H,NON,NON,OUI,LONG,OUI,NON,JEUNE,OUI,NON,BIGEON,NIVARD,No
NON,F,OUI,NON,OUI,COURT,NON,NON,MEDIUM,NON,NON,DREUX,DREUX,No
OUI,H,OUI,NON,NON,COURT,NON,NON,JEUNE,OUI,NON,OUVRIE,VERVA,No
OUI,H,NON,OUI,NON,COURT,NON,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
OUI,M,NON,NON,OUI,COURT,NON,NON,JEUNE,NON,NON,DREUX,DREUX,No
NON,H,OUI,NON,NON,COURT,NON,NON,JEUNE,OUI,NON,BAZIRE,RAFFIN,No
NON,H,OUI,NON,NON,COURT,OUI,NON,MEDIUM,OUI,NON,BIGEON,BAZIRE,No
NON,M,OUI,NON,OUI,COURT,OUI,NON,MEDIUM,NON,NON,DREUX,BAZIRE,No
NON,F,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,OUI,BAZIRE,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,OUI,COURT,NON,NON,MEDIUM,NON,NON,BIGEON,DREUX,No
NON,F,OUI,OUI,OUI,COURT,OUI,NON,JEUNE,OUI,NON,ABRIVARD,BAZIRE,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,NON,MEDIUM,OUI,NON,NIVARD,BAZIRE,No
NON,H,NON,NON,NON,COURT,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
OUI,H,OUI,NON,NON,COURT,NON,NON,JEUNE,OUI,NON,VERVA,VERVA,No
NON,M,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,NIVARD,ABRIVARD,No
NON,M,NON,NON,NON,COURT,OUI,NON,JEUNE,OUI,OUI,ABRIVARD,ABRIVARD,No
NON,M,NON,NON,NON,COURT,NON,NON,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,NON,ABRIVARD,RAFFIN,No
NON,H,NON,OUI,OUI,LONG,NON,NON,JEUNE,OUI,NON,OUVRIE,BIGEON,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,JEUNE,OUI,NON,RAFFIN,ABRIVARD,No
OUI,F,OUI,OUI,NON,COURT,NON,NON,MEDIUM,OUI,NON,OUVRIE,OUVRIE,No
NON,M,NON,OUI,NON,COURT,NON,NON,MEDIUM,OUI,NON,RAFFIN,BAZIRE,No
OUI,F,OUI,OUI,NON,COURT,NON,NON,MEDIUM,OUI,NON,ABRIVARD,OUVRIE,No
NON,H,NON,OUI,NON,COURT,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
