Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
OUI,M,NON,OUI,NON,COURT,NON,OUI,JEUNE,OUI,NON,NIVARD,NIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,OUI,JEUNE,OUI,NON,RAFFIN,RAFFIN,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,RAFFIN,ABRIVARD,No
NON,M,NON,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,VERVA,ABRIVARD,No
NON,F,OUI,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
OUI,H,OUI,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,LONG,OUI,NON,JEUNE,OUI,NON,RAFFIN,RAFFIN,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,JEUNE,OUI,NON,RAFFIN,ABRIVARD,No
OUI,M,NON,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,VERVA,RAFFIN,No
NON,F,OUI,OUI,OUI,LONG,OUI,NON,JEUNE,OUI,OUI,BAZIRE,DREUX,No
OUI,M,OUI,OUI,NON,LONG,NON,NON,VIEUX,NON,NON,DREUX,MARTENS,No
NON,F,OUI,NON,OUI,COURT,NON,OUI,JEUNE,NON,NON,BAZIRE,VERVA,No
NON,M,NON,OUI,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BIGEON,BIGEON,No
NON,M,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,RAFFIN,ABRIVARD,No
NON,F,NON,NON,NON,COURT,OUI,OUI,JEUNE,NON,NON,RAFFIN,BIGEON,No
NON,M,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
OUI,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,OUI,NON,VERVA,ABRIVARD,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,OUI,OUI,RAFFIN,RAFFIN,No
NON,M,NON,NON,NON,LONG,OUI,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
OUI,H,OUI,OUI,NON,LONG,NON,NON,MEDIUM,OUI,NON,RAFFIN,ABRIVARD,No
NON,H,OUI,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,VERVA,ABRIVARD,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
OUI,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,OUI,NON,VERVA,ABRIVARD,No
NON,H,OUI,OUI,OUI,LONG,OUI,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,H,OUI,OUI,NON,COURT,NON,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,NON,COURT,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,OUI,NON,COURT,NON,OUI,JEUNE,OUI,NON,NIVARD,NIVARD,No
OUI,M,NON,OUI,NON,LONG,NON,NON,JEUNE,OUI,NON,OUVRIE,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,NON,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
OUI,M,OUI,OUI,NON,COURT,NON,NON,MEDIUM,OUI,NON,MARTENS,MARTENS,No
NON,H,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,NON,NON,JEUNE,NON,NON,DREUX,ABRIVARD,No
NON,F,NON,OUI,NON,COURT,OUI,NON,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,OUI,COURT,OUI,NON,MEDIUM,OUI,NON,NIVARD,BAZIRE,No
NON,F,OUI,NON,NON,COURT,NON,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,H,OUI,NON,NON,LONG,OUI,NON,MEDIUM,OUI,NON,NIVARD,NIVARD,No
NON,M,NON,OUI,OUI,LONG,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,H,NON,NON,NON,LONG,OUI,OUI,JEUNE,NON,NON,OUVRIE,ABRIVARD,No
NON,M,NON,NON,NON,COURT,OUI,OUI,JEUNE,OUI,NON,OUVRIE,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,NON,NIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,OUI,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,NON,NON,JEUNE,OUI,OUI,RAFFIN,RAFFIN,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,OUI,NIVARD,RAFFIN,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,OUI,NON,NIVARD,NIVARD,No
NON,H,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,NON,NON,NON,COURT,NON,NON,JEUNE,OUI,OUI,RAFFIN,ABRIVARD,No
NON,H,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,OUI,OUI,RAFFIN,ABRIVARD,No
OUI,H,OUI,OUI,NON,COURT,NON,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,NON,MARTENS,ABRIVARD,No
NON,M,NON,OUI,NON,COURT,OUI,NON,JEUNE,OUI,NON,RAFFIN,RAFFIN,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,M,OUI,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,OUVRIE,BIGEON,No
NON,M,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,OUI,NON,RAFFIN,RAFFIN,No
NON,F,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,NON,NON,OUVRIE,NIVARD,No
NON,F,NON,NON,NON,COURT,OUI,OUI,JEUNE,NON,NON,RAFFIN,BIGEON,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,LONG,OUI,NON,JEUNE,OUI,NON,ABRIVARD,NIVARD,No
NON,H,OUI,NON,OUI,COURT,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,M,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,OUI,NON,COURT,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,NON,NON,JEUNE,OUI,NON,RAFFIN,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,NON,JEUNE,OUI,OUI,ABRIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,OUI,NON,MEDIUM,OUI,NON,BAZIRE,NIVARD,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,NON,OUVRIE,RAFFIN,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,OUVRIE,RAFFIN,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,OUI,RAFFIN,RAFFIN,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,OUI,NON,OUVRIE,NIVARD,No
NON,M,OUI,NON,OUI,COURT,OUI,OUI,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
NON,M,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,MARTENS,BIGEON,No
NON,H,OUI,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,F,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,H,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,H,OUI,NON,NON,LONG,NON,NON,MEDIUM,OUI,NON,NIVARD,NIVARD,No
NON,H,OUI,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,F,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,F,OUI,OUI,OUI,LONG,NON,NON,JEUNE,NON,NON,VERVA,VERVA,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,H,NON,NON,NON,COURT,OUI,OUI,MEDIUM,OUI,NON,MARTENS,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,M,NON,NON,NON,COURT,OUI,OUI,MEDIUM,OUI,OUI,BAZIRE,ABRIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,NIVARD,ABRIVARD,No
NON,F,OUI,NON,NON,LONG,NON,NON,JEUNE,NON,NON,MARTENS,OUVRIE,No
OUI,H,NON,NON,NON,LONG,NON,NON,JEUNE,OUI,NON,VERVA,VERVA,No
NON,M,NON,NON,NON,LONG,NON,NON,JEUNE,OUI,NON,OUVRIE,ABRIVARD,No
NON,F,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,OUVRIE,OUVRIE,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,OUI,NON,RAFFIN,NIVARD,No
NON,F,NON,OUI,OUI,COURT,NON,OUI,MEDIUM,OUI,OUI,VERVA,VERVA,No
NON,H,OUI,OUI,OUI,LONG,OUI,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
OUI,M,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,VERVA,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,NON,OUI,NON,COURT,OUI,OUI,JEUNE,OUI,NON,BAZIRE,RAFFIN,No
NON,M,NON,OUI,NON,COURT,OUI,OUI,MEDIUM,NON,NON,BIGEON,BIGEON,No
NON,M,OUI,OUI,OUI,COURT,OUI,OUI,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
OUI,M,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,OUI,NON,NIVARD,NIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,ABRIVARD,RAFFIN,No
NON,H,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,OUI,NON,NIVARD,NIVARD,No
NON,F,OUI,OUI,NON,COURT,NON,OUI,MEDIUM,OUI,NON,ABRIVARD,NIVARD,No
NON,M,NON,OUI,NON,COURT,OUI,OUI,JEUNE,OUI,OUI,NIVARD,RAFFIN,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
